tgt_priority_explanation,tgt_industry,country_flying_mission,total_tons,ac_attacking
primary target,synthetic oil refineries,others,42,21
primary target,synthetic oil refineries,others,42,21
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,42,21
primary target,synthetic oil refineries,others,42,21
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,38,15
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,29,12
primary target,synthetic oil refineries,others,45,20
primary target,synthetic oil refineries,others,45,20
primary target,synthetic oil refineries,others,36,15
primary target,synthetic oil refineries,others,36,15
target of last resort,urban areas,others,22,11
target of last resort,urban areas,others,22,11
target of last resort,urban areas,others,22,11
primary target,synthetic oil refineries,others,36,15
primary target,synthetic oil refineries,others,36,15
target of last resort,urban areas,great britain,298,79
primary target,urban areas,great britain,28,81
primary target,synthetic oil refineries,others,5,2
primary target,synthetic oil refineries,others,4,6
primary target,synthetic oil refineries,others,5,2
target of last resort,synthetic oil refineries,others,23,10
target of last resort,synthetic oil refineries,others,30,12
target of last resort,synthetic oil refineries,others,23,10
target of last resort,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,4,6
primary target,synthetic oil refineries,others,3,2
primary target,synthetic oil refineries,others,2,2
primary target,synthetic oil refineries,others,3,2
primary target,synthetic oil refineries,others,2,2
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
target of opportunity,urban areas,others,2,1
primary target,synthetic oil refineries,usa,40,27
primary target,synthetic oil refineries,usa,40,27
primary target,synthetic oil refineries,usa,24,25
primary target,synthetic oil refineries,usa,24,25
primary target,synthetic oil refineries,usa,39,23
primary target,synthetic oil refineries,usa,25,23
primary target,synthetic oil refineries,usa,39,23
primary target,synthetic oil refineries,usa,25,23
primary target,synthetic oil refineries,usa,29,19
primary target,synthetic oil refineries,usa,29,19
target of opportunity,urban areas,usa,28,8
target of opportunity,urban areas,usa,28,8
target of opportunity,urban areas,usa,28,8
target of opportunity,unidentified targets,usa,3,2
target of opportunity,unidentified targets,usa,3,2
target of opportunity,urban areas,others,50,27
target of opportunity,urban areas,others,50,27
target of opportunity,urban areas,others,50,27
target of opportunity,urban areas,others,21,11
target of opportunity,urban areas,others,21,11
target of opportunity,urban areas,others,21,11
target of opportunity,urban areas,others,27,16
target of opportunity,urban areas,others,27,16
target of opportunity,urban areas,others,27,16
target of opportunity,urban areas,others,4,2
target of opportunity,urban areas,others,4,2
target of opportunity,urban areas,others,4,2
target of opportunity,urban areas,others,18,10
target of opportunity,urban areas,others,18,10
target of opportunity,urban areas,others,18,10
target of last resort,urban areas,great britain,178,44
secondary target,synthetic oil refineries,great britain,576,84
target of opportunity,urban areas,others,42,12
target of opportunity,urban areas,others,42,12
target of opportunity,urban areas,others,42,12
primary target,synthetic oil refineries,usa,52,32
primary target,synthetic oil refineries,usa,52,32
primary target,synthetic oil refineries,usa,24,25
primary target,synthetic oil refineries,usa,24,25
primary target,synthetic oil refineries,usa,22,15
primary target,synthetic oil refineries,usa,22,15
primary target,synthetic oil refineries,usa,30,26
primary target,synthetic oil refineries,usa,30,26
primary target,synthetic oil refineries,usa,39,26
primary target,synthetic oil refineries,usa,39,26
primary target,synthetic oil refineries,usa,33,22
primary target,synthetic oil refineries,usa,33,22
primary target,synthetic oil refineries,usa,39,26
primary target,synthetic oil refineries,usa,39,26
target of opportunity,unidentified targets,usa,11,6
target of opportunity,unidentified targets,usa,11,6
target of opportunity,unidentified targets,usa,11,6
primary target,synthetic oil refineries,others,25,12
primary target,synthetic oil refineries,others,25,12
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,27,12
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,27,12
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,others,32,13
primary target,synthetic oil refineries,great britain,334,68
target of opportunity,urban areas,usa,25,9
target of opportunity,urban areas,usa,25,9
target of opportunity,urban areas,usa,25,9
target of opportunity,urban areas,usa,23,9
target of opportunity,urban areas,usa,23,9
target of opportunity,urban areas,usa,23,9
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,8,3
target of opportunity,urban areas,usa,8,3
target of opportunity,urban areas,usa,8,3
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,9,3
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,9,3
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,others,15,6
target of opportunity,unidentified targets,others,15,6
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,23,9
target of opportunity,unidentified targets,others,23,9
target of opportunity,unidentified targets,others,23,9
target of opportunity,unidentified targets,others,6,2
target of opportunity,unidentified targets,others,6,2
target of opportunity,unidentified targets,others,6,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,5,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,5,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,28,11
target of opportunity,unidentified targets,others,36,12
target of opportunity,unidentified targets,others,36,12
target of opportunity,urban areas,others,24,8
target of opportunity,urban areas,others,38,13
target of opportunity,urban areas,others,24,8
target of opportunity,urban areas,others,38,13
target of opportunity,urban areas,others,24,8
target of opportunity,urban areas,others,38,13
target of opportunity,urban areas,others,16,7
target of opportunity,unidentified targets,others,19,7
target of opportunity,urban areas,others,16,7
target of opportunity,unidentified targets,others,19,7
target of opportunity,urban areas,others,16,7
target of opportunity,urban areas,others,26,11
target of opportunity,unidentified targets,others,29,12
target of opportunity,unidentified targets,others,32,11
target of opportunity,urban areas,others,26,11
target of opportunity,unidentified targets,others,29,12
target of opportunity,unidentified targets,others,32,11
target of opportunity,urban areas,others,26,11
secondary target,synthetic oil refineries,great britain,4,47
secondary target,synthetic oil refineries,great britain,936,49
secondary target,synthetic oil refineries,others,27,11
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,32,13
secondary target,synthetic oil refineries,others,27,11
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,32,13
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,15,7
secondary target,synthetic oil refineries,others,15,7
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,25,11
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,25,11
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,29,12
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,29,12
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,26,12
primary target,urban areas,usa,6,4
primary target,urban areas,usa,6,4
primary target,urban areas,usa,6,4
primary target,urban areas,usa,84,21
primary target,urban areas,usa,53,21
primary target,urban areas,usa,32,18
primary target,urban areas,usa,84,21
primary target,urban areas,usa,53,21
primary target,urban areas,usa,32,18
primary target,urban areas,usa,84,21
primary target,urban areas,usa,53,21
primary target,urban areas,usa,32,18
primary target,urban areas,usa,69,24
primary target,urban areas,usa,54,18
primary target,urban areas,usa,69,24
primary target,urban areas,usa,54,18
primary target,urban areas,usa,69,24
primary target,urban areas,usa,54,18
primary target,urban areas,usa,4,4
primary target,urban areas,usa,69,23
primary target,urban areas,usa,68,23
primary target,urban areas,usa,66,22
primary target,urban areas,usa,34,19
primary target,urban areas,usa,4,4
primary target,urban areas,usa,69,23
primary target,urban areas,usa,68,23
primary target,urban areas,usa,66,22
primary target,urban areas,usa,34,19
primary target,urban areas,usa,4,4
primary target,urban areas,usa,69,23
primary target,urban areas,usa,68,23
primary target,urban areas,usa,66,22
primary target,urban areas,usa,34,19
primary target,urban areas,usa,45,25
primary target,urban areas,usa,45,25
primary target,urban areas,usa,45,25
primary target,urban areas,usa,43,24
primary target,urban areas,usa,43,24
primary target,urban areas,usa,43,24
primary target,urban areas,usa,80,27
primary target,urban areas,usa,80,27
primary target,urban areas,usa,80,27
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,3,1
target of last resort,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
secondary target,synthetic oil refineries,others,26,12
primary target,synthetic oil refineries,great britain,308,54
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
secondary target,synthetic oil refineries,others,3,1
secondary target,synthetic oil refineries,others,10,4
secondary target,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
secondary target,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
secondary target,synthetic oil refineries,others,3,1
secondary target,synthetic oil refineries,others,10,4
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of last resort,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,1,1
target of opportunity,unidentified targets,usa,1,1
primary target,urban areas,others,24,18
primary target,urban areas,others,24,18
primary target,urban areas,others,24,18
primary target,urban areas,others,38,15
primary target,urban areas,others,27,11
primary target,urban areas,others,69,35
primary target,urban areas,others,64,34
primary target,urban areas,others,21,22
primary target,urban areas,others,36,20
primary target,urban areas,others,60,32
primary target,urban areas,others,38,15
primary target,urban areas,others,27,11
primary target,urban areas,others,69,35
primary target,urban areas,others,64,34
primary target,urban areas,others,21,22
primary target,urban areas,others,36,20
primary target,urban areas,others,60,32
primary target,urban areas,others,38,15
primary target,urban areas,others,27,11
primary target,urban areas,others,69,35
primary target,urban areas,others,64,34
primary target,urban areas,others,21,22
primary target,urban areas,others,36,20
primary target,urban areas,others,60,32
primary target,urban areas,others,58,33
primary target,urban areas,others,24,17
primary target,urban areas,others,58,33
primary target,urban areas,others,24,17
primary target,urban areas,others,58,33
primary target,urban areas,others,24,17
primary target,urban areas,others,35,16
primary target,urban areas,others,35,16
primary target,urban areas,others,35,16
primary target,urban areas,others,66,35
primary target,urban areas,others,66,35
primary target,urban areas,others,66,35
primary target,urban areas,others,62,32
primary target,urban areas,others,62,32
primary target,urban areas,others,62,32
primary target,urban areas,others,10,14
primary target,urban areas,others,10,14
primary target,urban areas,others,10,14
primary target,urban areas,others,24,19
primary target,urban areas,others,24,19
primary target,urban areas,others,24,19
primary target,urban areas,others,19,13
primary target,urban areas,others,19,13
primary target,urban areas,others,19,13
primary target,urban areas,others,66,26
primary target,urban areas,others,66,26
primary target,urban areas,others,66,26
primary target,urban areas,others,45,35
primary target,urban areas,others,45,35
primary target,urban areas,others,45,35
primary target,urban areas,others,13,5
primary target,urban areas,others,3,3
primary target,urban areas,others,8,8
primary target,urban areas,others,13,6
secondary target,urban areas,others,47,13
primary target,urban areas,others,13,5
primary target,urban areas,others,3,3
primary target,urban areas,others,8,8
primary target,urban areas,others,13,6
secondary target,urban areas,others,47,13
primary target,urban areas,others,13,5
primary target,urban areas,others,3,3
primary target,urban areas,others,8,8
primary target,urban areas,others,13,6
secondary target,urban areas,others,47,13
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,27,11
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,25,10
primary target,synthetic oil refineries,others,27,11
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,30,12
primary target,synthetic oil refineries,others,34,14
primary target,synthetic oil refineries,others,34,14
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,35,14
primary target,synthetic oil refineries,others,27,11
primary target,synthetic oil refineries,others,27,11
primary target,synthetic oil refineries,others,20,10
primary target,synthetic oil refineries,others,20,10
primary target,synthetic oil refineries,others,27,13
primary target,synthetic oil refineries,others,27,13
primary target,synthetic oil refineries,great britain,324,63
target of last resort,urban areas,great britain,192,77
primary target,urban areas,great britain,102,4
secondary target,urban areas,great britain,160,9
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,5,2
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
secondary target,synthetic oil refineries,others,21,7
secondary target,synthetic oil refineries,others,24,8
secondary target,synthetic oil refineries,others,21,7
secondary target,synthetic oil refineries,others,24,8
secondary target,synthetic oil refineries,others,32,11
secondary target,synthetic oil refineries,others,32,11
secondary target,synthetic oil refineries,others,22,8
secondary target,synthetic oil refineries,others,32,11
secondary target,synthetic oil refineries,others,22,8
secondary target,synthetic oil refineries,others,32,11
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,39,13
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,39,13
primary target,synthetic oil refineries,others,38,13
secondary target,synthetic oil refineries,others,33,12
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,21,7
secondary target,synthetic oil refineries,others,31,11
primary target,synthetic oil refineries,others,38,13
secondary target,synthetic oil refineries,others,33,12
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,21,7
secondary target,synthetic oil refineries,others,31,11
secondary target,synthetic oil refineries,others,27,10
secondary target,synthetic oil refineries,others,25,12
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,27,10
secondary target,synthetic oil refineries,others,25,12
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,28,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,28,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,27,9
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,27,9
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,25,10
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,29,10
secondary target,synthetic oil refineries,others,27,10
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,29,10
secondary target,synthetic oil refineries,others,27,10
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,23,10
secondary target,synthetic oil refineries,others,29,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,23,10
secondary target,synthetic oil refineries,others,29,12
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,28,11
target of opportunity,urban areas,great britain,160,18
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,35,14
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,35,14
secondary target,synthetic oil refineries,others,30,10
secondary target,synthetic oil refineries,others,36,12
secondary target,synthetic oil refineries,others,28,12
secondary target,synthetic oil refineries,others,24,8
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,28,12
secondary target,synthetic oil refineries,others,24,8
secondary target,synthetic oil refineries,others,33,11
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,33,13
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,32,12
secondary target,synthetic oil refineries,others,34,13
secondary target,synthetic oil refineries,others,30,12
secondary target,synthetic oil refineries,others,32,12
secondary target,synthetic oil refineries,others,34,13
secondary target,synthetic oil refineries,others,31,12
secondary target,synthetic oil refineries,others,31,12
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,28,11
secondary target,synthetic oil refineries,others,28,12
secondary target,synthetic oil refineries,others,28,12
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
primary target,urban areas,great britain,14,95
secondary target,urban areas,great britain,196,50
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,urban areas,usa,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,usa,6,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,6,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,others,1,2
target of opportunity,unidentified targets,others,1,2
target of opportunity,unidentified targets,others,1,2
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,urban areas,others,3,1
target of opportunity,unidentified targets,usa,10,4
target of opportunity,unidentified targets,usa,10,4
target of opportunity,unidentified targets,usa,10,4
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,2
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,3,2
target of opportunity,unidentified targets,usa,2,1
primary target,urban areas,others,50,22
primary target,urban areas,others,50,22
primary target,urban areas,others,50,22
primary target,urban areas,others,92,33
primary target,urban areas,others,43,20
primary target,urban areas,others,92,33
primary target,urban areas,others,43,20
primary target,urban areas,others,92,33
primary target,urban areas,others,43,20
primary target,urban areas,others,34,14
primary target,urban areas,others,34,14
primary target,urban areas,others,34,14
primary target,urban areas,others,38,15
primary target,urban areas,others,38,15
primary target,urban areas,others,38,15
primary target,urban areas,others,17,12
primary target,urban areas,others,17,12
primary target,urban areas,others,17,12
primary target,urban areas,others,10,9
primary target,urban areas,others,30,21
primary target,urban areas,others,67,29
primary target,urban areas,others,84,33
primary target,urban areas,others,60,38
primary target,urban areas,others,10,9
primary target,urban areas,others,30,21
primary target,urban areas,others,67,29
primary target,urban areas,others,84,33
primary target,urban areas,others,60,38
primary target,urban areas,others,10,9
primary target,urban areas,others,30,21
primary target,urban areas,others,67,29
primary target,urban areas,others,84,33
primary target,urban areas,others,60,38
primary target,urban areas,others,56,36
primary target,urban areas,others,56,36
primary target,urban areas,others,56,36
primary target,urban areas,others,48,33
primary target,urban areas,others,48,33
primary target,urban areas,others,48,33
primary target,urban areas,others,28,18
primary target,urban areas,others,28,18
primary target,urban areas,others,28,18
primary target,urban areas,others,43,17
primary target,urban areas,others,43,17
primary target,urban areas,others,43,17
primary target,urban areas,others,43,18
primary target,urban areas,others,46,22
primary target,urban areas,others,24,15
primary target,urban areas,others,43,18
primary target,urban areas,others,46,22
primary target,urban areas,others,24,15
primary target,urban areas,others,43,18
primary target,urban areas,others,46,22
primary target,urban areas,others,24,15
primary target,urban areas,others,23,17
primary target,urban areas,others,23,17
primary target,urban areas,others,23,17
primary target,urban areas,others,22,14
primary target,urban areas,others,22,14
primary target,urban areas,others,22,14
primary target,urban areas,others,25,18
primary target,urban areas,others,25,18
primary target,urban areas,others,25,18
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,usa,4,1
target of opportunity,unidentified targets,others,14,6
target of opportunity,unidentified targets,others,14,6
target of opportunity,unidentified targets,others,14,6
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
secondary target,urban areas,great britain,186,77
target of opportunity,urban areas,great britain,897,40
target of opportunity,urban areas,great britain,201,8
primary target,urban areas,others,9,6
primary target,urban areas,others,4,4
primary target,urban areas,others,4,4
primary target,urban areas,others,5,5
target of opportunity,urban areas,others,2,2
target of opportunity,urban areas,others,5,1
target of opportunity,urban areas,others,29,11
target of opportunity,urban areas,others,9,6
primary target,urban areas,others,9,6
primary target,urban areas,others,4,4
primary target,urban areas,others,4,4
primary target,urban areas,others,5,5
target of opportunity,urban areas,others,2,2
target of opportunity,urban areas,others,5,1
target of opportunity,urban areas,others,29,11
target of opportunity,urban areas,others,9,6
primary target,urban areas,others,9,6
primary target,urban areas,others,4,4
primary target,urban areas,others,4,4
primary target,urban areas,others,5,5
target of opportunity,urban areas,others,2,2
target of opportunity,urban areas,others,5,1
target of opportunity,urban areas,others,29,11
target of opportunity,urban areas,others,9,6
primary target,urban areas,great britain,393,47
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,usa,2,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,2,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,4,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,3,1
target of opportunity,unidentified targets,others,1,1
target of opportunity,unidentified targets,others,2,1
secondary target,urban areas,great britain,806,85
target of opportunity,unidentified targets,usa,17,7
target of opportunity,unidentified targets,usa,17,7
target of opportunity,unidentified targets,usa,17,7
primary target,urban areas,great britain,5,8
target of opportunity,unidentified targets,usa,8,3
target of opportunity,unidentified targets,usa,8,3
target of opportunity,unidentified targets,usa,8,3
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,usa,3,1
target of opportunity,unidentified targets,others,32,13
target of opportunity,unidentified targets,others,32,13
target of opportunity,unidentified targets,others,32,13
target of opportunity,urban areas,others,30,12
